NVDA	NVIDIA Corporation
2330	TAIWAN SEMICONDUCTOR MANUFACTURING
NOVO_B	NOVO NORDISK B A/S
ASML	ASML HOLDING
UBER	Uber Technologies, Inc.
BX	Blackstone Inc.
601919	COSCO SHIPPING HOLDINGS
JBSS3	JBS ON ED NM
MELI	MercadoLibre, Inc.
GMEXICO/B	GRUPO MEXICO SAB DE CV
KLAC	KLA Corporation
SCCO	Southern Copper Corporation
EMAAR	EMAAR PROPERTIES
ISRG	Intuitive Surgical, Inc.
FOX	Fox Corporation
MCO	Moody's Corporation
ANET	Arista Networks, Inc.
PLZL	Polus
APP	Applovin Corporation
SBSP3	SABESP ON NM
300274	SUNGROW POWER SUPP
EMAARDEV	EMAAR DEVELOPMENT
GMAB	GENMAB A/S
EVR	Evercore Inc.
SFM	Sprouts Farmers Market, Inc.
6857	ADVANTEST CORP
VRT	Vertiv Holdings, LLC
SN	SharkNinja, Inc.
PHOR	PhosAgro
UTHR	United Therapeutics Corporation
RHM	RHEINMETALL AG
CSU	CONSTELLATION SOFTWARE INC
EXEL	Exelixis, Inc.
600660	FUYAO GLASS INDUSTRY GROUP CO. LTD.
TTD	The Trade Desk, Inc.
K	KINROSS GOLD CORP
ADYEN	ADYEN
2379	REALTEK SEMICONDUCTOR CORP
ADNOCDRILL	ADNOC Drilling Company PJSC
WISE	WISE PLC CLS A ORD GBP0.01
300866	ANKER INNOVATIONS
2001	ZHEJIANG NHU CO
CALM	Cal-Maine Foods, Inc.
CRC	California Resources Corporation
EMG	MAN GROUP PLC (NEW) ORD USD0.0342857142
259960	KRAFTON
9992	POP MART INTL GRP LTD
HAR	HARMONY GM CO LTD
VIRT	Virtu Financial, Inc.
1308	SITC INTERNATIONAL HLDGS CO LTD
605499	EASTROC BEVERAGE (GROUP) CO LTD
ORNAV	ORION CORPORATION A
ELAL	EL AL
NMDC	NMDC Group PJSC
CLS	CELESTICA INC
UI	Ubiquiti Inc.
FPT	FPT CORPORATION
2376	GIGA-BYTE TECHNOLOGY CO
KOG	KONGSBERG GRUPPEN ASA
HALO	Halozyme Therapeutics, Inc.
267260	HD HYUNDAI ELECTRIC
TXRH	Texas Roadhouse, Inc.
EVN	EVOLUTION MINING LIMITED
LUG	LUNDIN GOLD INC
IESC	IES Holdings, Inc.
FPH	FISHER & PAYKEL HEALTHCARE CORP NPV
300724	SHENZHEN S C NEW E
PLUS	DIGIPLUS INTERACTIVE CORP
EAT	Brinker International, Inc.
GRBK	Green Brick Partners, Inc.
INPST	INPOST S.A.
ERIE	Erie Indemnity Company
SQN	SWISSQUOTE N
GQG	GQG PARTNERS INC.
FLOW	FLOW TRADERS
600988	CHIFENG JILONG GOLD MINING CO LTD
MTO	MITIE GROUP ORD GBP0.025
689009	NINEBOT LIMITED
605117	NINGBO DEYE TECHNOLOGY CO LTD
2367	GIANT BIOGENE HLDG CO. LTD
TGSU2	TRANSPORTADORA DE GAS DEL SUR S.A
975	SHANJIN INTERNATIO
603129	ZHEJIANG CFMOTO POWER
ISMEN	IS Y. MEN. DEG.
ANIM	ANIMA HOLDING
ANTM	ANEKA TAMBANG
MCH	MASAN CONSUMER CORPORATION
3230	SAMYANG FOOD
ALK_B	ALK-ABELLO B A/S
REA	REA GROUP LTD
300033	HITHINK ROYALFLUSH
DOCS	Doximity, Inc.
688578	SHANGHAI ALLIST PHARMACEUTICALS CO
APPF	AppFolio, Inc.
300628	YEALINK NETWORK TE
OGC	OCEANAGOLD CORPORATION
YOU	Clear Secure, Inc.
CNVRG	CONVERGE INFORMATION AND COMMUNICATIONS TECHNOLOGY SOLUTIONS, INC
1318	MAO GEPING COSMETICS CO LTD
MAVI	MAVI GIYIM
GTT	GTT (GAZTRANSPORT ET TECHNIGAZ) EUR0.01
ENAEX	ENAEX SA
NVMI	Nova Ltd.
CPRX	Catalyst Pharmaceuticals, Inc.
6532	BAYCURRENT INC
2360	CHROMA ATE INC
426	INNER MONGOLIA XIN
TDW	Tidewater Inc.
278470	APR
STAA	SUMBER TANIAGUNG RESOURCES TBK
688278	XIAMEN AMOYTOP BIOTECH CO LTD
FTK	FLATEXDEGIRO AG
ATH	ATHABASCA OIL CORP
MULT3	MULTIPLAN ON N2
BMI	Badger Meter, Inc.
2669	CHINA OVERSEAS PROPERTY HLDGS LTD
2155	HUNAN GOLD CORPORA
79550	LIG NEX1 CO., LTD.
300251	BEIJING ENLIGHT ME
TOI	TOPICUS COM INC
METR	METROGAS SA
3661	ALCHIP TECHNOLOGIES LIMITD
STBP3	SANTOS BRP ON NM
RMS	RAMELIUS RESOURCES LIMITED
300394	SUZHOU TFC OPTICAL
PCT	POLAR CAPITAL TECHNOLOGY TRUST PLC ORD GBP0.025
600301	GUANGXI HUAXI NONFERROUS METAL CO L
2520	KINDOM DEVELOPMENT CO LTD
DOM	DOMDEV
9636	JF SMARTINVEST HOLDINGS LTD
2059	KING SLIDE WORKS CO
PORT3	WILSON SONS ON ED NM
WAPCO	LAFARGE CEMENT WAPCO PLC
