logo-PsAlMQQF src	apply-common-tooltip	apply-common-tooltip href	apply-common-tooltip 2	cell-RLhfr_y4	positive-p_QIAEOQ	cell-RLhfr_y4 2	cell-RLhfr_y4 3	cell-RLhfr_y4 4	cell-RLhfr_y4 5	currency-WyLKdeog 5	cell-RLhfr_y4 6	currency-WyLKdeog 6	positive-p_QIAEOQ 2	dataMode-FRcSVmGO
https://s3-symbol-logo.tradingview.com/nvidia.svg	NVDA	https://www.tradingview.com/symbols/NASDAQ-NVDA/	NVIDIA Corporation	130.5 B	1.142	97.86 B	81.45 B	72.88 B	83.32 B	USD	2.94	USD	1.4627	
https://s3-symbol-logo.tradingview.com/taiwan-semiconductor.svg	2330	https://www.tradingview.com/symbols/TWSE-2330/	TAIWAN SEMICONDUCTOR MANUFACTURING	94.4 B	0.3986	52.89 B	44.55 B	39.35 B	64.96 B	USD	1.52	USD	0.5279	D
https://s3-symbol-logo.tradingview.com/novo-nordisk.svg	NOVO_B	https://www.tradingview.com/symbols/OMXCOP-NOVO_B/	NOVO NORDISK B A/S	43.92 B	0.2411	37.04 B	19.82 B	15.16 B	22.72 B	USD	3.4	USD	0.1773	D
https://s3-symbol-logo.tradingview.com/asml.svg	ASML	https://www.tradingview.com/symbols/EURONEXT-ASML/	ASML HOLDING	33.23 B	0.1767	17.28 B	11.22 B	9.42 B	12.24 B	USD	23.94	USD	0.2262	D
https://s3-symbol-logo.tradingview.com/uber.svg	UBER	https://www.tradingview.com/symbols/NYSE-UBER/	Uber Technologies, Inc.	45.38 B	0.176	14.55 B	4.52 B	12.29 B	5.24 B	USD	5.73	USD	7.951	
https://s3-symbol-logo.tradingview.com/blackstone.svg	BX	https://www.tradingview.com/symbols/NYSE-BX/	Blackstone Inc.	12.63 B	0.2206	12.57 B	6.51 B	2.54 B	6.55 B	USD	3.31	USD	0.1657	
https://s3-symbol-logo.tradingview.com/cosco-shipping.svg	601919	https://www.tradingview.com/symbols/SSE-601919/	COSCO SHIPPING HOLDINGS	33.35 B	0.3812	12.11 B	8.72 B	7.44 B	—	USD	0.47		1.3397	D
https://s3-symbol-logo.tradingview.com/jbs-s-a.svg	JBSS3	https://www.tradingview.com/symbols/BMFBOVESPA-JBSS3/	JBS ON ED NM	77.34 B	0.2065	11.37 B	4.55 B	1.91 B	6.69 B	USD	0.86	USD	4.3464	D
https://s3-symbol-logo.tradingview.com/mercadolibre.svg	MELI	https://www.tradingview.com/symbols/NASDAQ-MELI/	MercadoLibre, Inc.	22.38 B	0.4192	10.32 B	2.87 B	2.06 B	3.5 B	USD	40.65	USD	0.822	
https://s3-symbol-logo.tradingview.com/grupo-mexico-sab-de-cv.svg	GMEXICO/B	https://www.tradingview.com/symbols/BMV-GMEXICO%2FB/	GRUPO MEXICO SAB DE CV	15.47 B	0.2779	7.17 B	6.85 B	3.46 B	8.07 B	USD	0.46	USD	0.2687	D
https://s3-symbol-logo.tradingview.com/kla-tencor.svg	KLAC	https://www.tradingview.com/symbols/NASDAQ-KLAC/	KLA Corporation	11.54 B	0.2044	7.05 B	4.85 B	3.7 B	5.25 B	USD	27.52	USD	0.4418	
https://s3-symbol-logo.tradingview.com/southern-copper.svg	SCCO	https://www.tradingview.com/symbols/NYSE-SCCO/	Southern Copper Corporation	11.96 B	0.2323	6.03 B	5.9 B	3.59 B	6.76 B	USD	4.48	USD	0.5335	
https://s3-symbol-logo.tradingview.com/emaar-properties.svg	EMAAR	https://www.tradingview.com/symbols/DFM-EMAAR/	EMAAR PROPERTIES	10.98 B	0.4075	5.99 B	5.07 B	3.89 B	5.49 B	USD	0.44	USD	0.2608	D
https://s3-symbol-logo.tradingview.com/intuitive-surgical.svg	ISRG	https://www.tradingview.com/symbols/NASDAQ-ISRG/	Intuitive Surgical, Inc.	8.71 B	0.1908	5.85 B	2.46 B	2.48 B	2.95 B	USD	6.82	USD	0.2301	
https://s3-symbol-logo.tradingview.com/fox-corporation.svg	FOX	https://www.tradingview.com/symbols/NASDAQ-FOX/	Fox Corporation	16.11 B	0.157	5.18 B	3.06 B	1.86 B	3.44 B	USD	4.02	USD	0.2595	
https://s3-symbol-logo.tradingview.com/moodys.svg	MCO	https://www.tradingview.com/symbols/NYSE-MCO/	Moody's Corporation	7.23 B	0.1595	4.81 B	3.05 B	2.11 B	3.5 B	USD	11.58	USD	0.2637	
https://s3-symbol-logo.tradingview.com/arista-networks.svg	ANET	https://www.tradingview.com/symbols/NYSE-ANET/	Arista Networks, Inc.	7.44 B	0.2231	4.77 B	3.14 B	3.03 B	3.2 B	USD	2.36	USD	0.3152	
https://s3-symbol-logo.tradingview.com/polyus.svg	PLZL	https://www.tradingview.com/symbols/RUS-PLZL/	Polus	6.3 B	0.4795	4.75 B	4.42 B	2.66 B	4.96 B	USD	27.98	USD	1.3805	
https://s3-symbol-logo.tradingview.com/applovin.svg	APP	https://www.tradingview.com/symbols/NASDAQ-APP/	Applovin Corporation	5.14 B	0.4163	3.92 B	2.42 B	1.92 B	2.84 B	USD	5.54	USD	2.281	
https://s3-symbol-logo.tradingview.com/sabesp.svg	SBSP3	https://www.tradingview.com/symbols/BMFBOVESPA-SBSP3/	SABESP ON NM	6.65 B	0.438	3.55 B	2.96 B	1.79 B	3.4 B	USD	2.62	USD	1.8443	D
https://s3-symbol-logo.tradingview.com/sungrow-power-supp.svg	300274	https://www.tradingview.com/symbols/SZSE-300274/	SUNGROW POWER SUPP	11.55 B	0.1658	3.49 B	2.03 B	1.76 B	—	USD	0.85		0.2786	D
https://s3-symbol-logo.tradingview.com/emaar-development.svg	EMAARDEV	https://www.tradingview.com/symbols/DFM-EMAARDEV/	EMAAR DEVELOPMENT	5.62 B	0.5831	3.14 B	2.68 B	2.24 B	2.68 B	USD	0.56	USD	0.2031	D
https://s3-symbol-logo.tradingview.com/genmab-a-s.svg	GMAB	https://www.tradingview.com/symbols/OMXCOP-GMAB/	GENMAB A/S	3.25 B	0.2639	3.09 B	1.08 B	1.14 B	—	USD	17.79		0.483	D
https://s3-symbol-logo.tradingview.com/evercore-inc.svg	EVR	https://www.tradingview.com/symbols/NYSE-EVR/	Evercore Inc.	3.11 B	0.2688	3.07 B	578.06 M	438.77 M	602.21 M	USD	10.44	USD	0.639	
https://s3-symbol-logo.tradingview.com/sprouts-farmers-markets.svg	SFM	https://www.tradingview.com/symbols/NASDAQ-SFM/	Sprouts Farmers Market, Inc.	8.07 B	0.1551	2.97 B	595.12 M	446.53 M	873.89 M	USD	4.44	USD	0.5346	
https://s3-symbol-logo.tradingview.com/advantest.svg	6857	https://www.tradingview.com/symbols/TSE-6857/	ADVANTEST CORP	5.2 B	0.6027	2.97 B	1.66 B	1.07 B	1.84 B	USD	1.45	USD	1.5902	D
https://s3-symbol-logo.tradingview.com/vertiv-holdings.svg	VRT	https://www.tradingview.com/symbols/NYSE-VRT/	Vertiv Holdings, LLC	8.41 B	0.2045	2.87 B	1.46 B	666.2 M	1.74 B	USD	1.72	USD	0.6583	
https://s3-symbol-logo.tradingview.com/sharkninja.svg	SN	https://www.tradingview.com/symbols/NYSE-SN/	SharkNinja, Inc.	5.69 B	0.2733	2.71 B	657.32 M	446.93 M	784.55 M	USD	3.16	USD	1.3376	
